age	workclass	fnlwgt	education	education-num	marital-status	occupation	relationship	race	sex	capital-gain	capital-loss	hours-per-week	native-country	y
25.000	Self-emp-not-inc	176756.000	HS-grad	9.000	Never-married	Farming-fishing	Own-child	White	Male	0.000	0.000	35.000	United-States	<=50K
32.000	Private	186824.000	HS-grad	9.000	Never-married	Machine-op-inspct	Unmarried	White	Male	0.000	0.000	40.000	United-States	<=50K
38.000	Private	28887.000	11th	7.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
43.000	Self-emp-not-inc	292175.000	Masters	14.000	Divorced	Exec-managerial	Unmarried	White	Female	0.000	0.000	45.000	United-States	>50K
40.000	Private	193524.000	Doctorate	16.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	60.000	United-States	>50K
54.000	Private	302146.000	HS-grad	9.000	Separated	Other-service	Unmarried	Black	Female	0.000	0.000	20.000	United-States	<=50K
35.000	Federal-gov	76845.000	9th	5.000	Married-civ-spouse	Farming-fishing	Husband	Black	Male	0.000	0.000	40.000	United-States	<=50K
43.000	Private	117037.000	11th	7.000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000	2042.000	40.000	United-States	<=50K
59.000	Private	109015.000	HS-grad	9.000	Divorced	Tech-support	Unmarried	White	Female	0.000	0.000	40.000	United-States	<=50K
56.000	Local-gov	216851.000	Bachelors	13.000	Married-civ-spouse	Tech-support	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
19.000	Private	168294.000	HS-grad	9.000	Never-married	Craft-repair	Own-child	White	Male	0.000	0.000	40.000	United-States	<=50K
54.000	?	180211.000	Some-college	10.000	Married-civ-spouse	?	Husband	Asian-Pac-Islander	Male	0.000	0.000	60.000	South	>50K
39.000	Private	367260.000	HS-grad	9.000	Divorced	Exec-managerial	Not-in-family	White	Male	0.000	0.000	80.000	United-States	<=50K
49.000	Private	193366.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
23.000	Local-gov	190709.000	Assoc-acdm	12.000	Never-married	Protective-serv	Not-in-family	White	Male	0.000	0.000	52.000	United-States	<=50K
20.000	Private	266015.000	Some-college	10.000	Never-married	Sales	Own-child	Black	Male	0.000	0.000	44.000	United-States	<=50K
45.000	Private	386940.000	Bachelors	13.000	Divorced	Exec-managerial	Own-child	White	Male	0.000	1408.000	40.000	United-States	<=50K
30.000	Federal-gov	59951.000	Some-college	10.000	Married-civ-spouse	Adm-clerical	Own-child	White	Male	0.000	0.000	40.000	United-States	<=50K
22.000	State-gov	311512.000	Some-college	10.000	Married-civ-spouse	Other-service	Husband	Black	Male	0.000	0.000	15.000	United-States	<=50K
48.000	Private	242406.000	11th	7.000	Never-married	Machine-op-inspct	Unmarried	White	Male	0.000	0.000	40.000	Puerto-Rico	<=50K
21.000	Private	197200.000	Some-college	10.000	Never-married	Machine-op-inspct	Own-child	White	Male	0.000	0.000	40.000	United-States	<=50K
19.000	Private	544091.000	HS-grad	9.000	Married-AF-spouse	Adm-clerical	Wife	White	Female	0.000	0.000	25.000	United-States	<=50K
31.000	Private	84154.000	Some-college	10.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	38.000	?	>50K
48.000	Self-emp-not-inc	265477.000	Assoc-acdm	12.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
31.000	Private	507875.000	9th	5.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000	0.000	43.000	United-States	<=50K
53.000	Self-emp-not-inc	88506.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
24.000	Private	172987.000	Bachelors	13.000	Married-civ-spouse	Tech-support	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
49.000	Private	94638.000	HS-grad	9.000	Separated	Adm-clerical	Unmarried	White	Female	0.000	0.000	40.000	United-States	<=50K
25.000	Private	289980.000	HS-grad	9.000	Never-married	Handlers-cleaners	Not-in-family	White	Male	0.000	0.000	35.000	United-States	<=50K
57.000	Federal-gov	337895.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	Black	Male	0.000	0.000	40.000	United-States	>50K
53.000	Private	144361.000	HS-grad	9.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000	0.000	38.000	United-States	<=50K
44.000	Private	128354.000	Masters	14.000	Divorced	Exec-managerial	Unmarried	White	Female	0.000	0.000	40.000	United-States	<=50K
41.000	State-gov	101603.000	Assoc-voc	11.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
29.000	Private	271466.000	Assoc-voc	11.000	Never-married	Prof-specialty	Not-in-family	White	Male	0.000	0.000	43.000	United-States	<=50K
25.000	Private	32275.000	Some-college	10.000	Married-civ-spouse	Exec-managerial	Wife	Other	Female	0.000	0.000	40.000	United-States	<=50K
18.000	Private	226956.000	HS-grad	9.000	Never-married	Other-service	Own-child	White	Female	0.000	0.000	30.000	?	<=50K
47.000	Private	51835.000	Prof-school	15.000	Married-civ-spouse	Prof-specialty	Wife	White	Female	0.000	1902.000	60.000	Honduras	>50K
50.000	Federal-gov	251585.000	Bachelors	13.000	Divorced	Exec-managerial	Not-in-family	White	Male	0.000	0.000	55.000	United-States	>50K
47.000	Self-emp-inc	109832.000	HS-grad	9.000	Divorced	Exec-managerial	Not-in-family	White	Male	0.000	0.000	60.000	United-States	<=50K
43.000	Private	237993.000	Some-college	10.000	Married-civ-spouse	Tech-support	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
46.000	Private	216666.000	5th-6th	3.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000	0.000	40.000	Mexico	<=50K
35.000	Private	56352.000	Assoc-voc	11.000	Married-civ-spouse	Other-service	Husband	White	Male	0.000	0.000	40.000	Puerto-Rico	<=50K
41.000	Private	147372.000	HS-grad	9.000	Married-civ-spouse	Adm-clerical	Husband	White	Male	0.000	0.000	48.000	United-States	<=50K
30.000	Private	188146.000	HS-grad	9.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	5013.000	0.000	40.000	United-States	<=50K
30.000	Private	59496.000	Bachelors	13.000	Married-civ-spouse	Sales	Husband	White	Male	2407.000	0.000	40.000	United-States	<=50K
32.000	?	293936.000	7th-8th	4.000	Married-spouse-absent	?	Not-in-family	White	Male	0.000	0.000	40.000	?	<=50K
48.000	Private	149640.000	HS-grad	9.000	Married-civ-spouse	Transport-moving	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
42.000	Private	116632.000	Doctorate	16.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	45.000	United-States	>50K
29.000	Private	105598.000	Some-college	10.000	Divorced	Tech-support	Not-in-family	White	Male	0.000	0.000	58.000	United-States	<=50K
36.000	Private	155537.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
28.000	Private	183175.000	Some-college	10.000	Divorced	Adm-clerical	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
53.000	Private	169846.000	HS-grad	9.000	Married-civ-spouse	Adm-clerical	Wife	White	Female	0.000	0.000	40.000	United-States	>50K
49.000	Self-emp-inc	191681.000	Some-college	10.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000	0.000	50.000	United-States	>50K
25.000	?	200681.000	Some-college	10.000	Never-married	?	Own-child	White	Male	0.000	0.000	40.000	United-States	<=50K
19.000	Private	101509.000	Some-college	10.000	Never-married	Prof-specialty	Own-child	White	Male	0.000	0.000	32.000	United-States	<=50K
31.000	Private	309974.000	Bachelors	13.000	Separated	Sales	Own-child	Black	Female	0.000	0.000	40.000	United-States	<=50K
29.000	Self-emp-not-inc	162298.000	Bachelors	13.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	70.000	United-States	>50K
23.000	Private	211678.000	Some-college	10.000	Never-married	Machine-op-inspct	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
79.000	Private	124744.000	Some-college	10.000	Married-civ-spouse	Prof-specialty	Other-relative	White	Male	0.000	0.000	20.000	United-States	<=50K
27.000	Private	213921.000	HS-grad	9.000	Never-married	Other-service	Own-child	White	Male	0.000	0.000	40.000	Mexico	<=50K
40.000	Private	32214.000	Assoc-acdm	12.000	Married-civ-spouse	Adm-clerical	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
67.000	?	212759.000	10th	6.000	Married-civ-spouse	?	Husband	White	Male	0.000	0.000	2.000	United-States	<=50K
18.000	Private	309634.000	11th	7.000	Never-married	Other-service	Own-child	White	Female	0.000	0.000	22.000	United-States	<=50K
31.000	Local-gov	125927.000	7th-8th	4.000	Married-civ-spouse	Farming-fishing	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
18.000	Private	446839.000	HS-grad	9.000	Never-married	Sales	Not-in-family	White	Male	0.000	0.000	30.000	United-States	<=50K
52.000	Private	276515.000	Bachelors	13.000	Married-civ-spouse	Other-service	Husband	White	Male	0.000	0.000	40.000	Cuba	<=50K
46.000	Private	51618.000	HS-grad	9.000	Married-civ-spouse	Other-service	Wife	White	Female	0.000	0.000	40.000	United-States	<=50K
59.000	Private	159937.000	HS-grad	9.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	48.000	United-States	<=50K
44.000	Private	343591.000	HS-grad	9.000	Divorced	Craft-repair	Not-in-family	White	Female	14344.000	0.000	40.000	United-States	>50K
53.000	Private	346253.000	HS-grad	9.000	Divorced	Sales	Own-child	White	Female	0.000	0.000	35.000	United-States	<=50K
49.000	Local-gov	268234.000	HS-grad	9.000	Married-civ-spouse	Protective-serv	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
33.000	Private	202051.000	Masters	14.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
30.000	Private	54334.000	9th	5.000	Never-married	Sales	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
43.000	Federal-gov	410867.000	Doctorate	16.000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000	0.000	50.000	United-States	>50K
57.000	Private	249977.000	Assoc-voc	11.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
37.000	Private	286730.000	Some-college	10.000	Divorced	Craft-repair	Unmarried	White	Female	0.000	0.000	40.000	United-States	<=50K
28.000	Private	212563.000	Some-college	10.000	Divorced	Machine-op-inspct	Unmarried	Black	Female	0.000	0.000	25.000	United-States	<=50K
30.000	Private	117747.000	HS-grad	9.000	Married-civ-spouse	Sales	Wife	Asian-Pac-Islander	Female	0.000	1573.000	35.000	?	<=50K
34.000	Local-gov	226296.000	Bachelors	13.000	Married-civ-spouse	Protective-serv	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
29.000	Local-gov	115585.000	Some-college	10.000	Never-married	Handlers-cleaners	Not-in-family	White	Male	0.000	0.000	50.000	United-States	<=50K
48.000	Self-emp-not-inc	191277.000	Doctorate	16.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	1902.000	60.000	United-States	>50K
37.000	Private	202683.000	Some-college	10.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	48.000	United-States	>50K
48.000	Private	171095.000	Assoc-acdm	12.000	Divorced	Exec-managerial	Unmarried	White	Female	0.000	0.000	40.000	England	<=50K
32.000	Federal-gov	249409.000	HS-grad	9.000	Never-married	Other-service	Own-child	Black	Male	0.000	0.000	40.000	United-States	<=50K
76.000	Private	124191.000	Masters	14.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
44.000	Private	198282.000	Bachelors	13.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	15024.000	0.000	60.000	United-States	>50K
47.000	Self-emp-not-inc	149116.000	Masters	14.000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000	0.000	50.000	United-States	<=50K
20.000	Private	188300.000	Some-college	10.000	Never-married	Tech-support	Own-child	White	Female	0.000	0.000	40.000	United-States	<=50K
29.000	Private	103432.000	HS-grad	9.000	Never-married	Craft-repair	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
32.000	Self-emp-inc	317660.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	7688.000	0.000	40.000	United-States	>50K
17.000	?	304873.000	10th	6.000	Never-married	?	Own-child	White	Female	34095.000	0.000	32.000	United-States	<=50K
30.000	Private	194901.000	11th	7.000	Never-married	Handlers-cleaners	Own-child	White	Male	0.000	0.000	40.000	United-States	<=50K
31.000	Local-gov	189265.000	HS-grad	9.000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
42.000	Private	124692.000	HS-grad	9.000	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
24.000	Private	432376.000	Bachelors	13.000	Never-married	Sales	Other-relative	White	Male	0.000	0.000	40.000	United-States	<=50K
38.000	Private	65324.000	Prof-school	15.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
56.000	Self-emp-not-inc	335605.000	HS-grad	9.000	Married-civ-spouse	Other-service	Husband	White	Male	0.000	1887.000	50.000	Canada	>50K
28.000	Private	377869.000	Some-college	10.000	Married-civ-spouse	Sales	Wife	White	Female	4064.000	0.000	25.000	United-States	<=50K
36.000	Private	102864.000	HS-grad	9.000	Never-married	Machine-op-inspct	Own-child	White	Female	0.000	0.000	40.000	United-States	<=50K
53.000	Private	95647.000	9th	5.000	Married-civ-spouse	Handlers-cleaners	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
56.000	Self-emp-inc	303090.000	Some-college	10.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
49.000	Local-gov	197371.000	Assoc-voc	11.000	Married-civ-spouse	Craft-repair	Husband	Black	Male	0.000	0.000	40.000	United-States	>50K
55.000	Private	247552.000	Some-college	10.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	56.000	United-States	<=50K
22.000	Private	102632.000	HS-grad	9.000	Never-married	Craft-repair	Not-in-family	White	Male	0.000	0.000	41.000	United-States	<=50K
21.000	Private	199915.000	Some-college	10.000	Never-married	Other-service	Own-child	White	Female	0.000	0.000	40.000	United-States	<=50K
40.000	Private	118853.000	Bachelors	13.000	Married-civ-spouse	Exec-managerial	Husband	White	Male	0.000	0.000	60.000	United-States	<=50K
30.000	Private	77143.000	Bachelors	13.000	Never-married	Exec-managerial	Own-child	Black	Male	0.000	0.000	40.000	Germany	<=50K
29.000	State-gov	267989.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	50.000	United-States	>50K
19.000	Private	301606.000	Some-college	10.000	Never-married	Other-service	Own-child	Black	Male	0.000	0.000	35.000	United-States	<=50K
47.000	Private	287828.000	Bachelors	13.000	Married-civ-spouse	Exec-managerial	Wife	White	Female	0.000	0.000	40.000	United-States	>50K
20.000	Private	111697.000	Some-college	10.000	Never-married	Adm-clerical	Own-child	White	Female	0.000	1719.000	28.000	United-States	<=50K
31.000	Private	114937.000	Assoc-acdm	12.000	Married-civ-spouse	Adm-clerical	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
35.000	?	129305.000	HS-grad	9.000	Married-civ-spouse	?	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
39.000	Private	365739.000	Some-college	10.000	Divorced	Craft-repair	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
28.000	Private	69621.000	Assoc-acdm	12.000	Never-married	Sales	Not-in-family	White	Female	0.000	0.000	60.000	United-States	<=50K
24.000	Private	43323.000	HS-grad	9.000	Never-married	Other-service	Not-in-family	White	Female	0.000	1762.000	40.000	United-States	<=50K
38.000	Self-emp-not-inc	120985.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	4386.000	0.000	35.000	United-States	<=50K
37.000	Private	254202.000	Bachelors	13.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	50.000	United-States	<=50K
46.000	Private	146195.000	Assoc-acdm	12.000	Divorced	Tech-support	Not-in-family	Black	Female	0.000	0.000	36.000	United-States	<=50K
38.000	Federal-gov	125933.000	Masters	14.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	Iran	>50K
43.000	Self-emp-not-inc	56920.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	60.000	United-States	<=50K
27.000	Private	163127.000	Assoc-voc	11.000	Married-civ-spouse	Adm-clerical	Wife	White	Female	0.000	0.000	35.000	United-States	<=50K
20.000	Private	34310.000	Some-college	10.000	Never-married	Sales	Own-child	White	Male	0.000	0.000	20.000	United-States	<=50K
49.000	Private	81973.000	Some-college	10.000	Married-civ-spouse	Craft-repair	Husband	Asian-Pac-Islander	Male	0.000	0.000	40.000	United-States	>50K
61.000	Self-emp-inc	66614.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
27.000	Private	232782.000	Some-college	10.000	Never-married	Sales	Own-child	White	Female	0.000	0.000	40.000	United-States	<=50K
19.000	Private	316868.000	Some-college	10.000	Never-married	Other-service	Own-child	White	Male	0.000	0.000	30.000	Mexico	<=50K
45.000	Private	196584.000	Assoc-voc	11.000	Never-married	Prof-specialty	Not-in-family	White	Female	0.000	1564.000	40.000	United-States	>50K
70.000	Private	105376.000	Some-college	10.000	Never-married	Tech-support	Other-relative	White	Male	0.000	0.000	40.000	United-States	<=50K
31.000	Private	185814.000	HS-grad	9.000	Never-married	Transport-moving	Unmarried	Black	Female	0.000	0.000	30.000	United-States	<=50K
22.000	Private	175374.000	Some-college	10.000	Married-civ-spouse	Other-service	Husband	White	Male	0.000	0.000	24.000	United-States	<=50K
36.000	Private	108293.000	HS-grad	9.000	Widowed	Other-service	Unmarried	White	Female	0.000	0.000	24.000	United-States	<=50K
64.000	Private	181232.000	11th	7.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	2179.000	40.000	United-States	<=50K
43.000	?	174662.000	Some-college	10.000	Divorced	?	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
47.000	Local-gov	186009.000	Some-college	10.000	Divorced	Adm-clerical	Unmarried	White	Female	0.000	0.000	38.000	Mexico	<=50K
34.000	Private	198183.000	HS-grad	9.000	Never-married	Adm-clerical	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
33.000	Private	163003.000	Bachelors	13.000	Never-married	Exec-managerial	Other-relative	Asian-Pac-Islander	Female	0.000	0.000	40.000	Philippines	<=50K
21.000	Private	296158.000	HS-grad	9.000	Never-married	Craft-repair	Own-child	White	Male	0.000	0.000	35.000	United-States	<=50K
52.000	?	252903.000	HS-grad	9.000	Divorced	?	Not-in-family	White	Male	0.000	0.000	45.000	United-States	>50K
48.000	Private	187715.000	HS-grad	9.000	Married-civ-spouse	Craft-repair	Husband	White	Male	0.000	0.000	46.000	United-States	<=50K
23.000	Private	214542.000	Bachelors	13.000	Never-married	Handlers-cleaners	Not-in-family	White	Male	0.000	0.000	40.000	United-States	<=50K
71.000	Self-emp-not-inc	494223.000	Some-college	10.000	Separated	Sales	Unmarried	Black	Male	0.000	1816.000	2.000	United-States	<=50K
29.000	Private	191535.000	HS-grad	9.000	Divorced	Craft-repair	Not-in-family	White	Male	0.000	0.000	60.000	United-States	<=50K
42.000	Private	228456.000	Bachelors	13.000	Separated	Other-service	Other-relative	Black	Male	0.000	0.000	50.000	United-States	<=50K
68.000	?	38317.000	1st-4th	2.000	Divorced	?	Not-in-family	White	Female	0.000	0.000	20.000	United-States	<=50K
25.000	Private	252752.000	HS-grad	9.000	Never-married	Other-service	Unmarried	White	Female	0.000	0.000	40.000	United-States	<=50K
44.000	Self-emp-inc	78374.000	Masters	14.000	Divorced	Exec-managerial	Unmarried	Asian-Pac-Islander	Female	0.000	0.000	40.000	United-States	<=50K
28.000	Private	88419.000	HS-grad	9.000	Never-married	Exec-managerial	Not-in-family	Asian-Pac-Islander	Female	0.000	0.000	40.000	England	<=50K
45.000	Self-emp-not-inc	201080.000	Masters	14.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
36.000	Private	207157.000	Some-college	10.000	Divorced	Other-service	Unmarried	White	Female	0.000	0.000	40.000	Mexico	<=50K
39.000	Federal-gov	235485.000	Assoc-acdm	12.000	Never-married	Exec-managerial	Not-in-family	White	Male	0.000	0.000	42.000	United-States	<=50K
46.000	State-gov	102628.000	Masters	14.000	Widowed	Protective-serv	Unmarried	White	Male	0.000	0.000	40.000	United-States	<=50K
18.000	Private	25828.000	11th	7.000	Never-married	Handlers-cleaners	Own-child	White	Male	0.000	0.000	16.000	United-States	<=50K
66.000	Local-gov	54826.000	Assoc-voc	11.000	Widowed	Prof-specialty	Not-in-family	White	Female	0.000	0.000	20.000	United-States	<=50K
27.000	Private	124953.000	HS-grad	9.000	Never-married	Other-service	Not-in-family	White	Male	0.000	1980.000	40.000	United-States	<=50K
28.000	State-gov	175325.000	HS-grad	9.000	Married-civ-spouse	Protective-serv	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
51.000	Private	96062.000	Some-college	10.000	Married-civ-spouse	Sales	Husband	White	Male	0.000	1977.000	40.000	United-States	>50K
27.000	Private	428030.000	Bachelors	13.000	Never-married	Craft-repair	Not-in-family	White	Male	0.000	0.000	50.000	United-States	<=50K
28.000	State-gov	149624.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	40.000	United-States	>50K
27.000	Private	253814.000	HS-grad	9.000	Married-spouse-absent	Sales	Unmarried	White	Female	0.000	0.000	25.000	United-States	<=50K
21.000	Private	312956.000	HS-grad	9.000	Never-married	Craft-repair	Own-child	Black	Male	0.000	0.000	40.000	United-States	<=50K
34.000	Private	483777.000	HS-grad	9.000	Never-married	Handlers-cleaners	Not-in-family	Black	Male	0.000	0.000	40.000	United-States	<=50K
18.000	Private	183930.000	HS-grad	9.000	Never-married	Other-service	Own-child	White	Male	0.000	0.000	12.000	United-States	<=50K
33.000	Private	37274.000	Bachelors	13.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	65.000	United-States	<=50K
44.000	Local-gov	181344.000	Some-college	10.000	Married-civ-spouse	Exec-managerial	Husband	Black	Male	0.000	0.000	38.000	United-States	>50K
43.000	Private	114580.000	Some-college	10.000	Divorced	Adm-clerical	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
30.000	Private	633742.000	Some-college	10.000	Never-married	Craft-repair	Not-in-family	Black	Male	0.000	0.000	45.000	United-States	<=50K
40.000	Private	286370.000	7th-8th	4.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000	0.000	40.000	Mexico	>50K
37.000	Federal-gov	29054.000	Some-college	10.000	Married-civ-spouse	Adm-clerical	Husband	White	Male	0.000	0.000	42.000	United-States	>50K
34.000	Private	304030.000	HS-grad	9.000	Married-civ-spouse	Adm-clerical	Husband	Black	Male	0.000	0.000	40.000	United-States	<=50K
41.000	Self-emp-not-inc	143129.000	Bachelors	13.000	Divorced	Exec-managerial	Not-in-family	White	Female	0.000	0.000	40.000	United-States	<=50K
53.000	?	135105.000	Bachelors	13.000	Divorced	?	Not-in-family	White	Female	0.000	0.000	50.000	United-States	<=50K
31.000	Private	99928.000	Masters	14.000	Married-civ-spouse	Prof-specialty	Wife	White	Female	0.000	0.000	50.000	United-States	<=50K
58.000	State-gov	109567.000	Doctorate	16.000	Married-civ-spouse	Prof-specialty	Husband	White	Male	0.000	0.000	1.000	United-States	>50K
38.000	Private	155222.000	Some-college	10.000	Divorced	Machine-op-inspct	Not-in-family	Black	Female	0.000	0.000	28.000	United-States	<=50K
24.000	Private	159567.000	Some-college	10.000	Married-civ-spouse	Machine-op-inspct	Husband	White	Male	0.000	0.000	40.000	United-States	<=50K
41.000	Local-gov	523910.000	Bachelors	13.000	Married-civ-spouse	Craft-repair	Husband	Black	Male	0.000	0.000	40.000	United-States	<=50K
